"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Manage Out Of Stock","Manage Out Of Stock"
"Subscribe to back in stock notification :","Subscribe to back in stock notification :"
"Please enter email","Please enter email"
"This email is already registered.","This email is already registered."
"Your email %1 has been saved for out of stock notification.","Your email %1 has been saved for out of stock notification."
"Edit Product","Edit Product"
"Store Name","Store Name"
"Email","Email"
"Subscription Time","Subscription Time"
